title,brand sponsor,description,date,venue,event_type,tags/_text,time,tags/_source,tags,pageUrl,level,theme
Akin Gumpapalooza 2015,Akin Gump,"Please join Akin Gump’s Intellectual Property practice to partake in libations, food and fun featuring a live performance from last year's SXSW Rock Band of the Year Quiet Company!","Monday, March 16",Parkside Restaurant 301 E 6th St,party,party,6:30PM - 9:30PM,/2015/tags/party,http://schedule.sxsw.com/2015/tags/party,http://schedule.sxsw.com/2015/2015/events/event_OE03848,,
Animal Planet's Next Cat Star Party,Animal Planet; AT&T,"Animal Planet & AT&T are on the search to find America’s Next Cat Star. COME TO THE PURRRRTY on Sunday, March 15th at Cedar Street Courtyard where the finalists will be revealed… giving party goers the first chance to vote for America’s Next Cat Star while dancing the night away with Austin’s favorite 80’s band, The Spazmatics #SxCATSTAR.","Sunday, March 15",Cedar Street Courtyard 208 W 4th St,Convergence party,Convergence; party,8:00PM - 2:00AM,/2015/tags/Convergence; /2015/tags/party,http://schedule.sxsw.com/2015/tags/Convergence; http://schedule.sxsw.com/2015/tags/party,http://schedule.sxsw.com/2015/2015/events/event_OE03861,,
The Beatport House,Beatport,"Celebrate the relaunch of Beatport - the home of electronic music - at the intersection of tech and music, featuring DJ sets, backyard chats with industry power players, refreshments, recharging, and more. Daily schedule: btprt.dj/sxsw.","Sunday, March 15",606 East 3rd St 606 East 3rd St,,,12:00PM - 9:00PM,,,http://schedule.sxsw.com/2015/2015/events/event_OE04279,,
The Beatport House,Beatport,"Celebrate the relaunch of Beatport - the home of electronic music - at the intersection of tech and music, featuring DJ sets, backyard chats with industry power players, refreshments, recharging, and more. Daily schedule: btprt.dj/sxsw.","Monday, March 16",606 East 3rd St 606 East 3rd St,,,12:00PM - 9:00PM,,,http://schedule.sxsw.com/2015/2015/events/event_OE04280,,
The Beatport House,Beatport,"Celebrate the relaunch of Beatport - the home of electronic music - at the intersection of tech and music, featuring DJ sets, backyard chats with industry power players, refreshments, recharging, and more. Daily schedule: btprt.dj/sxsw.","Tuesday, March 17",606 East 3rd St 606 East 3rd St,,,12:00PM - 9:00PM,,,http://schedule.sxsw.com/2015/2015/events/event_OE04281,,
Block Party,,"Based on a classic “pub crawl” model, the Block Party gives registrants the opportunity to move between participating exhibitors who will be serving complimentary refreshments and beverages. To add to the fun, each Block Party exhibitor will be a part of our simple “stamp collecting competition, in which registrants visit each booth to be entered in a raffle to win great prizes, including a platinum badge for SXSW 2016.","Tuesday, March 17",Austin Convention Center Exhibit Hall 3/4 Austin Convention Center,SXSW Trade Show,,4:00PM - 6:00PM,,,http://schedule.sxsw.com/2015/2015/events/event_OE04164,,
Bonus Round Closing Party presented by Star Citizen,Star Citizen,"100 percent crowd funded, Star Citizen aims to create a living, breathing science fiction universe with unparalleled immersion... and you’re invited to follow every step of development! More than a space combat sim, more than a first person shooter and more than an MMO: Star Citizen is the First Person Universe that will allow for unlimited gameplay.","Sunday, March 15",Palmer Events Center 900 Barton Springs Rd,Gaming Expo,gaming; expo; party,7:00PM - 10:00PM,/2015/tags/gaming; /2015/tags/expo; /2015/tags/party,http://schedule.sxsw.com/2015/tags/gaming; http://schedule.sxsw.com/2015/tags/expo; http://schedule.sxsw.com/2015/tags/party,http://schedule.sxsw.com/2015/2015/events/event_OE03821,gaming expo party,SXSW Gaming and Create
BreakOut West Interactive Party,,"BreakOut West party for Interactive, Film, and Music badges featuring bands from Western Canada. 4:15pm Megan Lane 5:00pm Samantha Savage Smith 5:45pm Mise en Scene 6:30pm Yukon Blonde","Tuesday, March 17",The Majestic 419-B E 6th St,global connections global,global connections; global,4:00PM - 8:00PM,/2015/tags/global+connections; /2015/tags/global,http://schedule.sxsw.com/2015/tags/global+connections; http://schedule.sxsw.com/2015/tags/global,http://schedule.sxsw.com/2015/2015/events/event_OE03882,,
Business France International Happy Hour,,Join Business France for a happy hour to meet French Tech startups and learn about the thriving tech startup ecosystem in France.,"Sunday, March 15",Hilton Austin Downtown H 500 E 4th St,global global connections,global; global connections,6:00PM - 7:00PM,/2015/tags/global; /2015/tags/global+connections,http://schedule.sxsw.com/2015/tags/global; http://schedule.sxsw.com/2015/tags/global+connections,http://schedule.sxsw.com/2015/2015/events/event_OE04282,,
Cisco’s Mimosas and a Movie: How Wearables Could Power Early Cancer Detection,,"What if one invention could change the fight against breast cancer forever? What if that invention could save one life, or thousands, or the life of someone you know? Take an extraordinary journey into the world of wearables, sensor technology, and a phenomenon called the Internet of Everything, where it’s not just about the devices or the data, but the people they impact. Join Cisco as it hosts the world premiere of the trailer of DETECTED, an upcoming, indie-doc thriller about a revolutionary wearable: a bra designed to detect breast cancer. Could this technology be the secret weapon in the cancer war? DetectedMovie.com","Monday, March 16",Moonshine 303 Red River St,party,party,11:00AM - 1:30PM,/2015/tags/party,http://schedule.sxsw.com/2015/tags/party,http://schedule.sxsw.com/2015/2015/events/event_OE03853,,
