"Object","Close-Approach (CA) Date (TDB)YYYY-mmm-DD HH:MM ± D_HH:MM","CA DistanceNominal(LD/AU)","CA DistanceMinimum(LD/AU)","Vrelative(km/s)","Vinfinity(km/s)","Nsigma","H(mag)","ref","class"
"(2016 RH40)","2016-Sep-26 06:43 ±","18.76/0.04821","18.61/0.04783","9.35","9.34","238","24.4","5","APO*"
"(2016 SG)","2016-Sep-27 04:34 ±","2.34/0.00602","2.34/0.00600","15.79","15.76","653","26.6","3","APO*"
"(2015 SO2)","2016-Sep-30 00:22 ±","17.38/0.04465","17.38/0.04465","6.08","6.07","2.87e+04","23.9","15","ATE*"
"(2009 UG)","2016-Sep-30 05:32 ± 1_03:32","7.33/0.01884","4.81/0.01236","8.89","8.88","2.71e+04","23.2","13","ATE*"
"462959 (2011 DU)","2016-Oct-06 20:30 ±","15.16/0.03896","15.16/0.03896","8.72","8.71","1.72e+05","21.0","48","APO*"
"(2007 TR68)","2016-Oct-13 00:26 ±   17:05","19.42/0.04989","14.87/0.03820","7.55","7.54","6.32e+03","25.9","6","ATE*"
"(2014 UR)","2016-Oct-18 03:49 ±","11.96/0.03074","11.96/0.03074","4.31","4.29","3e+06","26.6","24","ATE*"
"413260 (2003 TL4)","2016-Oct-27 16:47 ±","10.06/0.02586","10.06/0.02586","10.35","10.34","3.85e+06","19.4","44","ATE*"
"164121 (2003 YT1)","2016-Oct-31 09:25 ±","13.53/0.03477","13.53/0.03477","24.06","24.06","5.65e+05","16.2","85","APO*"
"(2002 UQ12)","2016-Nov-07 06:01 ±","19.44/0.04996","19.44/0.04995","20.08","20.08","1.23e+05","22.2","10","APO*"
"(2004 KB)","2016-Nov-10 13:33 ± 1_05:06","10.01/0.02572","8.72/0.02241","13.52","13.51","910","21.1","12","APO*"
"433953 (1997 XR2)","2016-Nov-18 15:05 ±","18.51/0.04756","18.51/0.04756","6.35","6.34","5.75e+05","20.9","42","APO*"
"(2008 UL90)","2016-Dec-12 14:53 ±","15.23/0.03914","15.23/0.03914","13.15","13.15","1.69e+05","18.6","27","IEO*"
