Object,Close-Approach (CA) Date (TDB)YYYY-mmm-DD HH:MM ± D_HH:MM,CA DistanceNominal(LD/AU),CA DistanceMinimum(LD/AU),Vrelative(km/s),Vinfinity(km/s),Nsigma,H(mag),ref,class
(2015 FA285),2015-Mar-31 22:19 ±,6.4/0.0164,6.3/0.0161,11.20,11.19,139,26.5,1,ATE*
(2015 FW117),2015-Apr-01 15:54 ±,3.6/0.0092,3.6/0.0092,18.74,18.73,1.49e+03,22.8,5,ATE*
(2015 FW284),2015-Apr-01 20:54 ±,11.5/0.0296,11.4/0.0293,14.85,14.84,216,24.7,1,ATE*
(2015 CW13),2015-Apr-03 15:58 ±,13.5/0.0348,13.5/0.0347,5.75,5.74,4.02e+03,23.0,17,APO*
(2015 FK120),2015-Apr-05 13:57 ±,5.8/0.0149,5.8/0.0149,4.84,4.80,578,27.2,2,APO*
(2015 FN33),2015-Apr-06 21:03 ±   00:03,9.8/0.0252,9.7/0.0248,5.17,5.15,105,26.2,2,APO*
(2005 KA),2015-Apr-12 11:41 ±   16:52,13.0/0.0335,9.3/0.0238,4.62,4.60,1.43e+05,24.7,11,ATE*
(2012 XB112),2015-Jun-11 21:11 ±   00:04,10.1/0.0259,10.0/0.0257,4.90,4.88,3.48e+04,29.9,16,APO*
293726 (2007 RQ17),2015-Jun-12 15:57 ±,18.4/0.0472,18.4/0.0472,7.13,7.12,4.72e+05,22.6,33,APO*
(2010 LN14),2015-Jun-21 19:08 ±,18.8/0.0483,18.8/0.0483,15.86,15.86,3.53e+05,21.1,31,APO*
(2007 WU3),2015-Jun-25 07:22 ±   03:32,16.8/0.0432,16.4/0.0420,6.23,6.22,222,23.4,6,APO*
(2010 NY65),2015-Jun-25 21:30 ±,17.1/0.0440,17.1/0.0440,13.48,13.48,7.65e+05,21.4,25,ATE*
(2005 VN5),2015-Jul-07 16:43 ±   00:13,12.6/0.0323,12.1/0.0311,6.83,6.82,1.77e+04,27.0,8,ATE*
(2011 UW158),2015-Jul-19 14:37 ±,6.4/0.0164,6.4/0.0164,6.04,6.01,4.63e+04,19.4,37,APO*
(2013 BQ18),2015-Jul-20 04:57 ±   10:40,7.9/0.0202,3.4/0.0088,14.09,14.08,1.32e+03,25.3,3,APO*
85989 (1999 JD6),2015-Jul-25 04:55 ±,18.8/0.0484,18.8/0.0484,20.32,20.32,9.58e+05,17.1,221,ATE*
(2009 DB1),2015-Aug-10 11:13 ±   17:42,18.1/0.0466,16.4/0.0421,12.44,12.44,2.02e+04,22.9,9,APO*
281375 (2008 JV19),2015-Sep-01 12:15 ±,17.4/0.0447,17.4/0.0447,7.24,7.23,6.14e+05,20.7,77,ATE*
(2014 KS76),2015-Sep-14 22:16 ±   00:02,8.7/0.0222,8.5/0.0218,7.59,7.58,1.92e+04,26.5,9,ATE*
(2012 CL19),2015-Oct-03 23:17 ±,17.4/0.0447,17.4/0.0447,9.50,9.50,1.91e+05,21.9,19,APO*
(2009 TK),2015-Oct-05 11:50 ±,17.6/0.0451,17.5/0.0451,11.06,11.05,2.55e+05,22.3,20,AMO*
(2010 SX11),2015-Oct-09 06:53 ±   14:55,15.4/0.0397,10.0/0.0257,7.73,7.72,1.44e+05,24.8,11,APO*
(2014 UR),2015-Oct-18 09:03 ±,3.8/0.0098,3.8/0.0098,4.40,4.34,9.75e+05,26.6,13,ATE*
(2011 SE97),2015-Oct-18 14:20 ±   00:49,12.0/0.0309,11.8/0.0302,12.87,12.87,2.61e+05,24.7,24,APO*
410777 (2009 FD),2015-Oct-29 10:15 ±,16.3/0.0419,16.3/0.0419,16.92,16.92,5.75e+05,22.1,61,APO*
413577 (2005 UL5),2015-Nov-20 04:14 ±,5.9/0.0153,5.9/0.0153,18.99,18.98,6.55e+04,20.2,35,ATE*
(2009 WB105),2015-Nov-25 16:59 ±   03:04,15.0/0.0385,14.9/0.0383,18.88,18.88,1.86e+04,23.3,8,ATE*
33342 (1998 WT24),2015-Dec-11 13:16 ±,10.9/0.0280,10.9/0.0280,8.51,8.50,1.77e+06,17.9,103,ATE*
(1995 YR1),2015-Dec-23 18:45 ±,16.9/0.0435,16.9/0.0435,30.45,30.45,3.74e+04,20.2,13,APO*
(2011 YD29),2015-Dec-24 05:20 ±   23:21,9.7/0.0249,7.0/0.0180,7.04,7.02,1.79e+04,26.3,4,ATE*
(2011 YE40),2015-Dec-31 12:13 ±   19:19,15.8/0.0407,8.4/0.0216,12.73,12.72,2.66e+04,25.2,4,APO*
85990 (1999 JV6),2016-Jan-06 01:09 ±,12.6/0.0324,12.6/0.0324,9.62,9.61,1.63e+06,20.0,169,APO*
(2001 BB16),2016-Jan-06 09:17 ±   16:12,17.7/0.0454,5.1/0.0131,5.08,5.07,2.58e+04,23.2,12,ATE*
(2013 VA10),2016-Feb-07 18:52 ±   18:43,8.5/0.0218,3.7/0.0096,25.85,25.84,5.5e+03,22.1,9,APO*
(2014 QD364),2016-Feb-07 19:38 ±   00:20,14.0/0.0361,14.0/0.0360,2.55,2.52,9.14e+03,27.2,7,ATE*
(2014 EK24),2016-Feb-14 11:23 ±,13.8/0.0356,13.8/0.0356,3.15,3.13,3.19e+05,23.2,51,APO*
(2010 WD1),2016-Feb-22 18:02 ± 2_18:48,12.3/0.0316,12.1/0.0310,7.17,7.16,103,26.5,7,ATE*
(2008 DL5),2016-Feb-27 17:00 ±,17.9/0.0459,17.9/0.0459,17.50,17.50,2.38e+05,21.8,15,APO*
(2011 EH17),2016-Mar-01 19:11 ±   03:07,11.1/0.0284,2.8/0.0072,16.71,16.71,1.87e+03,24.6,5,ATE*
(2013 TX68),2016-Mar-05 18:15 ± 2_13:39,1.3/0.0034,0.06/0.00016,14.44,14.39,41.8,25.3,5,APO*
(2010 FX9),2016-Mar-19 01:12 ±   14:52,6.9/0.0176,5.4/0.0140,11.06,11.05,6.82e+04,24.2,15,APO*
252P/LINEAR,2016-Mar-21 12:41 ±   00:13,13.9/0.0357,13.9/0.0356,10.56,10.55,9.48e+03,n/a,25,JFc*
(1994 UG),2016-Mar-25 07:30 ±,17.3/0.0444,17.3/0.0444,7.38,7.37,7.52e+04,21.0,28,APO*

(2014 LY21),2014-Jun-03 22:27 ± 1_18:48,0.04/0.00011,0.02/0.00006,11.25,8.87,5.48,29.1,7,ATE*
(2015 DD1),2015-Feb-17 07:38 ±,0.1/0.0003,0.1/0.0003,8.20,6.85,3.99e+03,30.3,4,APO*
(2014 RC),2014-Sep-07 18:02 ±,0.1/0.0003,0.1/0.0003,10.95,10.00,9.06e+04,26.8,22,APO*
(2014 RA),2014-Aug-31 23:48 ±,0.1/0.0004,0.1/0.0004,13.25,12.71,822,28.9,6,APO*
(2014 SG1),2014-Sep-20 14:48 ±,0.2/0.0005,0.2/0.0005,13.88,13.51,1.9e+03,29.1,2,APO*
(2014 KC45),2014-May-28 08:10 ±,0.2/0.0006,0.2/0.0006,9.42,8.92,7.58e+03,29.3,4,APO*
(2014 TL),2014-Oct-01 15:59 ±,0.3/0.0007,0.3/0.0007,11.13,10.75,4.07e+03,27.8,9,APO*
(2014 JG55),2014-May-10 20:18 ±,0.3/0.0007,0.3/0.0007,10.47,10.08,1.86e+03,29.2,3,APO*
(2014 JR24),2014-May-07 10:45 ±,0.3/0.0007,0.3/0.0007,4.63,3.74,1.75e+04,29.3,6,APO*
