Object, Close-Approach (CA) Date (TDB)YYYY-mmm-DD HH:MM ± D_HH:MM, CA DistanceNominal(LD/AU), CA DistanceMinimum(LD/AU), Vrelative(km/s), Vinfinity(km/s), Nsigma, H(mag)
(2015 FK), 2015-Mar-19 06:53 ±, 3.7/0.0094, 3.6/0.0094, 7.02, 6.98, 2.68e+03, 25.4
(2015 FF), 2015-Mar-20 20:28 ±, 4.2/0.0107, 4.1/0.0106, 9.79, 9.76, 432, 26.8
(2015 EG7), 2015-Mar-20 21:27 ±, 2.7/0.0070, 2.7/0.0070, 13.16, 13.13, 784, 27.6
(2015 FM), 2015-Mar-23 02:48 ±   00:02, 6.1/0.0156, 6.0/0.0154, 15.00, 14.99, 168, 25.9
(2015 FC), 2015-Mar-26 20:11 ±   01:23, 2.9/0.0074, 2.8/0.0073, 7.50, 7.45, 296, 26.8
(2011 UW158), 2015-Jul-19 14:37 ±, 6.4/0.0164, 6.4/0.0164, 6.04, 6.01, 4.63e+04, 19.4
(2013 BQ18), 2015-Jul-20 04:57 ±   10:40, 7.9/0.0202, 3.4/0.0088, 14.09, 14.08, 1.32e+03, 25.3
(2014 KS76), 2015-Sep-14 22:16 ±   00:02, 8.7/0.0222, 8.5/0.0218, 7.59, 7.58, 1.92e+04, 26.5
(2014 UR), 2015-Oct-18 09:03 ±, 3.8/0.0098, 3.8/0.0098, 4.40, 4.34, 9.75e+05, 26.6
413577 (2005 UL5), 2015-Nov-20 04:14 ±, 5.9/0.0153, 5.9/0.0153, 18.99, 18.98, 6.55e+04, 20.2
(2011 YD29), 2015-Dec-24 05:20 ±   23:21, 9.7/0.0249, 7.0/0.0180, 7.04, 7.02, 1.79e+04, 26.3
(2013 VA10), 2016-Feb-07 18:52 ±   18:43, 8.5/0.0218, 3.7/0.0096, 25.85, 25.84, 5.5e+03, 22.1
(2013 TX68), 2016-Mar-05 18:15 ± 2_13:39, 1.3/0.0034, 0.06/0.00016, 14.44, 14.39, 41.8, 25.3

