Object,Close-Approach (CA) Date(TDB)YYYY-mmm-DD HH:MM ± D_HH:MM,CA DistanceNominal (LD/AU),CA DistanceMinimum(LD/AU),Vrelative(km/s),Vinfinity(km/s),Nsigma,H(mag),ref,class
(2016 DY30),2016-Feb-25 19:59 ±   00:02,0.04/9.6e-05,0.04/9.5e-05,17.35,15.67,245,30.5,1,APO*
(2015 SK7),2015-Sep-22 21:44 ±,0.07/0.00018,0.07/0.00018,13.71,12.57,783,28.9,8,APO*
(2016 AH164),2016-Jan-12 03:35 ±,0.07/0.00018,0.07/0.00018,8.63,6.67,1.85e+03,29.7,5,APO*
(2015 VY105),2015-Nov-15 02:40 ±,0.09/0.00023,0.09/0.00023,17.43,16.75,1.24e+03,29.0,6,APO*
(2016 AN164),2016-Jan-14 14:55 ±,0.10/0.00025,0.10/0.00025,13.18,12.34,1.26e+03,30.5,2,APO*
(2015 HD1),2015-Apr-21 08:17 ±,0.15/0.00040,0.15/0.00039,15.97,15.54,2.79e+03,27.4,7,APO*
(2015 YJ),2015-Dec-13 21:19 ±   00:03,0.19/0.00048,0.18/0.00047,16.72,16.38,456,28.2,5,APO*
(2016 CM194),2016-Feb-13 07:48 ±,0.20/0.00052,0.20/0.00052,12.00,11.57,8.53e+03,27.7,4,APO*
(2015 PK),2015-Aug-06 03:10 ±   00:03,0.21/0.00053,0.21/0.00053,16.32,16.01,1.06e+03,28.1,3,APO*
(2015 VU64),2015-Nov-06 23:09 ±,0.26/0.00067,0.26/0.00067,4.48,3.48,4.66e+03,30.6,3,ATE*
(2016 AQ164),2016-Jan-10 14:15 ±,0.27/0.00070,0.27/0.00069,14.16,13.88,282,29.9,2,APO*
(2015 EO6),2015-Mar-12 00:31 ±,0.28/0.00073,0.28/0.00073,23.81,23.66,370,30.2,3,APO*
(2015 GU),2015-Apr-12 05:36 ±,0.29/0.00074,0.29/0.00074,11.66,11.34,5.68e+03,28.4,4,APO*
(2015 TC25),2015-Oct-13 07:32 ±,0.29/0.00074,0.29/0.00074,4.43,3.53,9.87e+03,29.5,10,APO*
(2016 DB),2016-Feb-15 04:50 ±,0.32/0.00083,0.32/0.00083,9.45,9.10,1.72e+03,28.5,2,ATE*
(2015 ET),2015-Mar-10 16:42 ±,0.33/0.00084,0.32/0.00083,12.38,12.12,5.14e+03,26.7,14,APO*
(2015 UM52),2015-Oct-22 19:19 ±,0.34/0.00087,0.34/0.00087,7.88,7.49,1.84e+03,27.8,5,APO*
(2016 CG18),2016-Feb-06 13:30 ±,0.39/0.00101,0.39/0.00101,4.88,4.31,9.04e+03,28.5,8,APO*
(2016 AN165),2016-Jan-13 14:44 ±,0.47/0.00120,0.47/0.00120,10.98,10.78,2.82e+03,27.7,4,APO*
(2015 GL13),2015-Apr-16 07:53 ±,0.48/0.00124,0.48/0.00124,13.96,13.81,2.01e+03,28.8,4,APO*
(2015 LF),2015-Jun-08 23:49 ±,0.51/0.00132,0.51/0.00131,16.76,16.64,2.41e+03,26.6,6,APO*
(2016 EK1),2016-Mar-03 18:06 ±,0.53/0.00135,0.53/0.00135,18.49,18.38,3.15e+03,29.1,1,APO*
(2016 CW264),2016-Feb-10 11:38 ±,0.55/0.00141,0.54/0.00140,24.48,24.40,416,29.8,1,APO*
(2015 WP2),2015-Nov-20 01:43 ±,0.60/0.00154,0.60/0.00153,12.84,12.70,986,30.1,2,APO*
(2016 EL1),2016-Mar-04 11:54 ±,0.60/0.00154,0.60/0.00154,20.13,20.04,2.67e+03,27.8,1,APO*
(2015 VP64),2015-Nov-05 09:15 ±,0.73/0.00187,0.73/0.00187,20.45,20.38,713,28.3,4,APO*
(2015 KW121),2015-May-23 18:02 ±,0.74/0.00191,0.74/0.00190,21.07,21.01,635,26.1,4,APO*
(2015 XY261),2015-Dec-15 13:52 ±,0.75/0.00193,0.75/0.00193,11.92,11.80,3.13e+03,27.2,5,APO*
(2015 JF1),2015-May-15 11:52 ±,0.81/0.00208,0.81/0.00208,13.78,13.69,1.73e+03,28.1,2,APO*
(2016 DK2),2016-Feb-26 07:19 ±,0.83/0.00212,0.82/0.00212,18.74,18.67,812,29.1,1,APO*
(2015 HG182),2015-Apr-14 19:17 ±   00:01,0.86/0.00220,0.86/0.00220,17.86,17.80,1.24e+03,28.9,2,APO*
(2015 FM118),2015-Mar-28 02:49 ±,0.92/0.00238,0.92/0.00237,8.83,8.70,2.64e+03,28.7,3,APO*
(2015 FU344),2015-Mar-16 05:50 ±,0.99/0.00255,0.99/0.00253,10.01,9.91,269,31.0,2,APO*
(2015 TQ21),2015-Oct-07 00:49 ±,1.01/0.00259,1.00/0.00258,19.97,19.92,1.02e+03,27.4,6,APO*
(2015 VO142),2015-Nov-24 02:23 ±,1.02/0.00263,1.02/0.00262,3.12,2.78,5.64e+03,29.0,10,APO*
(2016 DV1),2016-Mar-03 05:17 ±,1.03/0.00264,1.03/0.00264,18.07,18.02,1.85e+04,24.9,16,APO*
(2015 KW120),2015-May-29 11:54 ±,1.07/0.00275,1.07/0.00275,13.00,12.93,1.96e+05,26.0,16,APO*
(2016 EG1),2016-Mar-05 01:24 ±,1.14/0.00293,1.14/0.00293,12.36,12.29,1.25e+03,29.1,3,APO*
(2015 HM10),2015-Jul-07 18:39 ±,1.15/0.00295,1.15/0.00295,8.46,8.35,2.25e+05,23.6,30,APO*
(2015 HQ171),2015-May-02 03:51 ±,1.16/0.00298,1.16/0.00298,9.24,9.14,1.85e+03,26.9,4,APO*
(2015 PL9),2015-Aug-08 01:49 ±,1.24/0.00318,1.23/0.00317,11.24,11.16,1.03e+03,27.0,5,APO*
(2015 TB145),2015-Oct-31 17:01 ±,1.27/0.00325,1.27/0.00325,34.95,34.92,2.84e+06,20.0,55,APO*
(2015 HQ11),2015-Apr-25 06:19 ±,1.28/0.00328,1.27/0.00327,10.16,10.08,1.8e+03,27.1,3,APO*
(2015 SZ2),2015-Sep-30 07:54 ±,1.32/0.00338,1.32/0.00338,6.14,6.01,5.86e+05,25.4,20,APO*
